alert_id,alert_text,region,region_confidence,severity,severity_confidence,event_type,type_confidence,human_review_required,countries,gdacs_alert_level,source,fetched_at
EQ1517911,"Green earthquake (Magnitude 5.9M, Depth:10km) in Southeast Indian Ridge 03/01/2026 10:07 UTC, [unknown]. On 1/3/2026 10:07:56 AM, an earthquake occurred in Southeast Indian Ridge potentially affecting [unknown]. The earthquake had Magnitude 5.9M, Depth:10km.",Unknown,0.3,Low,0.4,EQ,0.9,True,Southeast Indian Ridge,Green,GDACS,2026-01-07T17:54:18.745141
TC1001243,"Green notification for tropical cyclone GRANT-26. Population affected by Category 1 (120 km/h) wind speeds or higher is 0  (0 in Tropical Storm). From 18/12/2025 to 03/01/2026, a Tropical Storm (maximum wind speed of 222 km/h) GRANT-26 was active in SWIndian. The cyclone affects these countries: Cocos (Keeling) Islands (vulnerability Low). Estimated population affected by category 1 (120 km/h) wind speeds or higher is 0  (0 in tropical storm).",Unknown,0.3,Low,0.4,TC,0.9,True,Cocos (Keeling) Islands,Green,GDACS,2026-01-07T17:54:18.751008
