alert_id,alert_text,region,region_confidence,severity,severity_confidence,event_type,type_confidence,human_review_required,countries,gdacs_alert_level,source,fetched_at
EQ1519810,"Green earthquake (Magnitude 5.5M, Depth:10km) in Western Indian-Antarctic Ridge 16/01/2026 16:41 UTC, [unknown]. On 1/16/2026 4:41:09 PM, an earthquake occurred in Western Indian-Antarctic Ridge potentially affecting [unknown]. The earthquake had Magnitude 5.5M, Depth:10km.",Unknown,0.3,Low,0.4,EQ,0.9,True,Western Indian-Antarctic Ridge,Green,GDACS,2026-01-18T10:13:32.995717
TC1001248,"Green notification for tropical cyclone DUDZAI-26. Population affected by Category 1 (120 km/h) wind speeds or higher is 0  (0 in Tropical Storm). From 10/01/2026 to 18/01/2026, a Severe Tropical Storm (maximum wind speed of 232 km/h) DUDZAI-26 was active in SWIndian. The cyclone affects these countries: Mauritius (vulnerability Medium). Estimated population affected by category 1 (120 km/h) wind speeds or higher is 0  (0 in tropical storm).",Unknown,0.3,Low,0.4,TC,0.9,True,Mauritius,Green,GDACS,2026-01-18T10:13:32.997734
